"Method","Name","Error","Occurrences"
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/264 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69015944a8>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/842 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f9924cf8>: Failed to establish a new connection: [Errno 111] Connection refused',))",12
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1284 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69115ef8d0>: Failed to establish a new connection: [Errno 111] Connection refused',))",4
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1336 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910b47828>: Failed to establish a new connection: [Errno 111] Connection refused',))",15
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/769 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e775c0b8>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1358 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f690040f518>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1876 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69039b4f98>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/139 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e64e24e0>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/195 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6902527358>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1486 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910cae898>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/325 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6910db6a90>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/815 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f9fabc50>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/248 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e7fbe860>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/877 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f99782e8>: Failed to establish a new connection: [Errno 111] Connection refused',))",9
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/720 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6911d96518>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/232 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f9b8d860>: Failed to establish a new connection: [Errno 111] Connection refused',))",12
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1814 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68e6ef0550>: Failed to establish a new connection: [Errno 111] Connection refused',))",14
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/466 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6911427748>: Failed to establish a new connection: [Errno 111] Connection refused',))",11
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1711 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6911bc52e8>: Failed to establish a new connection: [Errno 111] Connection refused',))",10
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1956 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69011e47f0>: Failed to establish a new connection: [Errno 111] Connection refused',))",7
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/768 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68eadd16d8>: Failed to establish a new connection: [Errno 111] Connection refused',))",12
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1300 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f8755ef0>: Failed to establish a new connection: [Errno 111] Connection refused',))",15
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1895 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f9f35cf8>: Failed to establish a new connection: [Errno 111] Connection refused',))",5
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1320 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f69123eb6a0>: Failed to establish a new connection: [Errno 111] Connection refused',))",15
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/241 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68f8b19898>: Failed to establish a new connection: [Errno 111] Connection refused',))",6
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1636 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f68fa5ce3c8>: Failed to establish a new connection: [Errno 111] Connection refused',))",3
"GET","product_id","HTTPConnectionPool(host='arch.homework', port=80): Max retries exceeded with url: /otusapp/products/1837 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6901ecd6a0>: Failed to establish a new connection: [Errno 111] Connection refused',))",8
